,2	  ,2	    ,1	      ,1	,1	  ,11	    ,9
,2	  ,1	    ,8	      ,1	,1	  ,7	    ,9
,2	  ,1	    ,1	      ,2	,2	  ,7	    ,8
,2	  ,1	    ,1	      ,4	,3	  ,7	    ,8
,2	  ,1	    ,1	      ,1	,1	  ,7	    ,9
,2	  ,1	    ,2	      ,4	,2	  ,4	    ,8
,2	  ,1	    ,1	      ,1	,5	  ,7	    ,9
,2	  ,1	    ,1	      ,1	,5	  ,7	    ,10
,2	  ,1	    ,5	      ,1	,1	  ,15	    ,8
,2	  ,2	    ,1	      ,1	,3	  ,2	    ,10
,2	  ,1	    ,1	      ,2	,2	  ,7	    ,11
,2	  ,2	    ,1	      ,1	,3	  ,3	    ,9
,2	  ,2	    ,3	      ,2	,7	  ,3	    ,9
,2	  ,2	    ,1	      ,1	,1	  ,12	    ,10
,3	  ,2	    ,1	      ,2	,5	  ,10	    ,8
,3	  ,2	    ,1	      ,3	,6	  ,5	    ,9
,3	  ,2	    ,2	      ,4	,3	  ,3	    ,10
,3	  ,2	    ,9	      ,6	,11	  ,4	    ,9
,3	  ,2	    ,1	      ,3	,4	  ,9	    ,10
,3	  ,2	    ,2	      ,2	,3	  ,3	    ,9
,3	  ,2	    ,2	      ,7	,5	  ,3	    ,9
,3	  ,2	    ,2	      ,2	,6	  ,9	    ,10
,3	  ,2	    ,2	      ,2	,7	  ,21	    ,10
,3	  ,2	    ,3	      ,2	,1	  ,1	    ,10
,3	  ,2	    ,3	      ,10	,2	  ,14	    ,11
,3	  ,2	    ,2	      ,2	,5	  ,4	    ,9
,3	  ,2	    ,2	      ,6	,3	  ,3	    ,10
,4	  ,2	    ,2	      ,4	,2	  ,8	    ,11
,3	  ,2	    ,2	      ,2	,4	  ,5	    ,9
,4	  ,2	    ,2	      ,3	,5	  ,4	    ,10
,4	  ,2	    ,2	      ,2	,9	  ,2	    ,11
,4	  ,3	    ,2	      ,5	,3	  ,15	    ,9
,4	  ,3	    ,3	      ,2	,11	  ,2	    ,10
,4	  ,3	    ,2	      ,2	,2	  ,4	    ,10
,4	  ,3	    ,2	      ,2	,3	  ,2	    ,9
,4	  ,3	    ,2	      ,7	,3	  ,3	    ,11
,4	  ,3	    ,2	      ,2	,4	  ,3	    ,9
,4	  ,3	    ,2	      ,2	,2	  ,7	    ,9
,4	  ,3	    ,2	      ,8	,6	  ,11	    ,11
,4	  ,3	    ,2	      ,4	,2	  ,7	    ,10
,4	  ,3	    ,3	      ,5	,11	  ,11	    ,10
,4	  ,3	    ,3	      ,3	,2	  ,3	    ,10
,5	  ,3	    ,3	      ,2	,3	  ,9	    ,10
,5	  ,3	    ,3	      ,2	,3	  ,3	    ,11
,5	  ,3	    ,4	      ,8	,3	  ,6	    ,10
,5	  ,3	    ,3	      ,2	,5	  ,10	    ,10
,5	  ,3	    ,3	      ,5	,5	  ,15	    ,13
,5	  ,3	    ,3	      ,7	,7	  ,7	    ,11
,5	  ,3	    ,3	      ,2	,7	  ,9	    ,12
,5	  ,4	    ,3	      ,3	,6	  ,6	    ,13
,6	  ,3	    ,3	      ,4	,9	  ,7	    ,11
,6	  ,3	    ,3	      ,7	,5	  ,15	    ,11
,6	  ,4	    ,3	      ,3	,4	  ,6	    ,10
,6	  ,4	    ,3	      ,3	,8	  ,9	    ,13
,6	  ,4	    ,5	      ,10	,4	  ,5	    ,12
,6	  ,4	    ,3	      ,3	,5	  ,7	    ,11
,6	  ,4	    ,3	      ,3	,4	  ,3	    ,10
,6	  ,4	    ,3	      ,3	,5	  ,3	    ,11
,6	  ,4	    ,3	      ,11	,4	  ,8	    ,13
