,6	  ,4	    ,3	      ,7	,6	  ,4	    ,10
,6	  ,4	    ,8	      ,3	,7	  ,9	    ,15
,6	  ,4	    ,3	      ,3	,3	  ,14	    ,17
,7	  ,4	    ,3	      ,6	,3	  ,10	    ,15
,6	  ,4	    ,3	      ,7	,6	  ,3	    ,11
,6	  ,4	    ,4	      ,3	,4	  ,5	    ,18
,6	  ,4	    ,4	      ,3	,3	  ,7	    ,12
,6	  ,4	    ,4	      ,5	,4	  ,9	    ,14
,6	  ,4	    ,4	      ,3	,6	  ,3	    ,13
,6	  ,4	    ,4	      ,6	,5	  ,3	    ,13
,7	  ,5	    ,4	      ,3	,11	  ,17	    ,12
,7	  ,5	    ,4	      ,4	,7	  ,9	    ,14
,7	  ,5	    ,4	      ,4	,11	  ,5	    ,11
,7	  ,5	    ,12	      ,4	,3	  ,12	    ,15
,7	  ,5	    ,4	      ,4	,8	  ,8	    ,13
,7	  ,5	    ,4	      ,4	,8	  ,15	    ,15
,7	  ,5	    ,11	      ,4	,7	  ,3	    ,16
,7	  ,5	    ,4	      ,5	,4	  ,8	    ,12
,7	  ,5	    ,4	      ,4	,6	  ,12	    ,12
,7	  ,5	    ,4	      ,6	,10	  ,6	    ,13
,7	  ,5	    ,4	      ,4	,4	  ,10	    ,12
,8	  ,5	    ,4	      ,5	,9	  ,13	    ,15
,8	  ,5	    ,4	      ,4	,7	  ,16	    ,12
,8	  ,5	    ,4	      ,4	,7	  ,5	    ,15
,8	  ,5	    ,9	      ,4	,6	  ,6	    ,13
,8	  ,5	    ,5	      ,6	,9	  ,9	    ,15
,8	  ,6	    ,9	      ,4	,7	  ,18	    ,13
